nc_name,ens_region_id,cores,memory,storage
"d2d15bede56e523592141734236f4184","baicheng-unicom","77","257727","856608"
"ca4bcdf24e0bd7ccf9cacc9fddde3785","baicheng-unicom","77","257727","901212"
"0ce79a21ccda6f52b4c654967ab85723","baicheng-unicom","77","257727","901028"
"613880c8a10ee393a795e0890c22642e","baicheng-unicom","77","257727","901028"
"91afad9d6f86565dd3cb014d5f77a875","baicheng-unicom","77","257727","901212"
"c935176e55695145bba9bc59194b0125","baicheng-unicom","77","257727","901028"
"e8a6577af5fc52f9ecab00cbdd176c7e","nanchang-unicom","77","257727","901212"
"db090e46becad442e1c114f8fb20b4c7","nanchang-unicom","77","257727","901212"
"31ed02057204748c2febbbc3674db08b","nanchang-unicom","77","257727","901028"
"27e7be3a01963be77249d85f79a8ccf9","nanchang-unicom","77","257727","901028"
"3cd51401b3ea5a7ff2190dc4ac1395d9","nanchang-unicom","77","257727","901028"
"4989fc5f06d03ac35914873a50667c6e","nanchang-unicom","77","257727","901212"
"1c171c0ed2b3e7353ced4acc7c6ce56f","nanchang-unicom","77","257727","901028"
"453f20c224d219ea4686dd4324f9ea09","nanchang-unicom","77","257727","901028"
"d40198f9bb3b383d06a5438545e53e9a","lanzhou-telecom","77","257727","901028"
"eedb9a80605aadb58da0ed6bd552dcb4","lanzhou-telecom","77","257727","901028"
"8b3c92a2b34508e9b3f0661a2c6ceb29","lanzhou-telecom","64","257727","901028"
"906c764e5a0dbea131c11fe26d5d87e7","lanzhou-telecom","77","257727","901212"
"3b14bbe4bf7e20eab240b24c2e18aa6e","lanzhou-telecom","77","257727","901212"
"1ac82f22d213bf59579455c1771c9d1f","lanzhou-telecom","77","257727","901028"
"6985bac62adc9f00fb09b4d10311869c","lanzhou-telecom","77","257727","901212"
"e2250a9576fba2da5f5f082926c0ae81","lanzhou-telecom","64","257727","901028"
"b980f80bd06bab3251be8caddda98b53","suihua-unicom","77","257727","901212"
"b2bb2a62ac6a779d98f4b3cb8275676c","suihua-unicom","77","257727","901212"
"06c05de92cc49d1b9538099eaa8d74b0","suihua-unicom","77","257727","901028"
"c2a68017a98c764ef7b868b36f66a6d5","suihua-unicom","77","257727","901212"
"3d7b04f9fa3f9efd29ff6647c5dd80f4","suihua-unicom","77","257727","901028"
"21ff54b008228f4e668e329c9035b198","suihua-unicom","64","257727","901212"
"bded69b370680a43d5628f1d0ebff02a","suihua-unicom","77","257727","901212"
"c9c64092126e5c36862d6e06cc06b92c","suihua-unicom","77","257727","901028"
"39788280b97f9a48910c4c06ab220913","zhengzhou-unicom","77","257727","901212"
"8524e2e181f4985622633a496a188de8","zhengzhou-unicom","77","257727","901212"
"48e5f2796751fc8ab70f7aba627d340c","zhengzhou-unicom","77","257727","901212"
"d84ceea7273c24013c9eb3842c7479cd","zhengzhou-unicom","77","257727","901028"
"4cb5c0383e04ba5e5c6d64b5641c602e","zhengzhou-unicom","77","257727","901212"
"71619902e3f995d6685b7676d8f669f8","zhengzhou-unicom","77","257727","901212"
"9d2a30c4a5025043355d2051be170054","zhengzhou-unicom","77","257727","901028"
"e90213904e79348f74761fc36a3faff1","zhengzhou-unicom","77","257727","901212"
"9e765d5b1fc7a509dad45ab0857a8837","qingdao-unicom-2","64","257727","901028"
"9fe51cf26c5a36d3bd2f72a59881b534","qingdao-unicom-2","77","257727","901212"
"7efa345a43450721a8d6c917aaa83f99","qingdao-unicom-2","77","257727","901028"
"14c2ab9cadaa8280097472dc032587a0","qingdao-unicom-2","77","257727","901028"
"5faea1fe0296f6a77ce58c0b5e19f07b","qingdao-unicom-2","77","257727","901028"
"c3585b28305b7d828cdea500bbf4695d","qingdao-unicom-2","77","257727","901028"
"1420b1b619a0ff80ee627f6e799b374c","qingdao-unicom-2","77","257727","901028"
"88b3dce62317bb234454457bac1e9c3e","qingdao-unicom-2","77","257727","901212"
"d9aaf500a67623e51a81428e4534f832","chengdu-telecom-3","77","257727","901028"
"8f9e960954fa6f070d092ba5352e8091","chengdu-telecom-3","77","257727","901212"
"66180709e075ce743f56e0ef80e6299f","chengdu-telecom-3","64","257727","901212"
"814b35cefbdd34190c5a6e04bcb78549","chengdu-telecom-3","77","257727","901212"
"e99ac91c267e55fa057ab98472a74c8b","chengdu-telecom-3","64","257727","901028"
"f05a77c66d8a700c12f25a3b97438f87","chengdu-telecom-3","64","257727","901212"
"ec0d4b7d43b232beebe8d2052b033ed3","chengdu-telecom-3","77","257727","901212"
"2047504ba044f390b2060288f1294e24","chengdu-telecom-3","77","257727","901212"
"95d8c3c8f6c72d36aa041b3be0d1d57b","chengdu-telecom-3","77","257727","901212"
"2796f5260f7d2c3607ee16b310cdb2cf","chengdu-telecom-3","64","257727","901028"
"b8dacc243cf4a4e8f3fa899b502b17fe","chengdu-telecom-2","64","257727","901028"
"afe686fa20d31b152bc31feb0fb6cd40","chengdu-telecom-2","64","257727","901028"
"1bc862ee6117f5df8d0237a9d03a8826","chengdu-telecom-2","77","257727","901028"
"2ffbf673470229a43da6a65eddf6743a","chengdu-telecom-2","64","257727","901212"
"0faac59edef17b368e65942b883bc163","chengdu-telecom-2","77","257727","901028"
"d2f0d88cab1150df68061875d4f98c9b","chengdu-telecom-2","77","257727","901212"
"7a8b507389c0ebf77c00f9dcb494fcdb","chengdu-telecom-2","77","257727","901028"
"c8d74cd22bbf6e7737f6c750b4b059cc","chengdu-telecom-2","77","257727","901212"
"7196b8d533419bc3f23ac4c8d6a5eff4","chengdu-telecom-2","77","257727","901212"
"7acba5217d0015f011ee43d58212cc49","chengdu-telecom-2","64","257727","901028"
"727e4995500e6447795ba729d14ec7b8","qingdao-unicom-1","77","257727","901028"
"c3ff52ce7ad348520ae0d1f53d5567eb","qingdao-unicom-1","77","257727","901028"
"d763dc5aa6cbed372c6c3c97fd55b902","qingdao-unicom-1","77","257727","901028"
"baaabeff9caf84228806b8f3d268343f","qingdao-unicom-1","64","257727","901028"
"6605c683fcc111771adcd5e8241e9143","qingdao-unicom-1","64","257727","901028"
"46836297a4e1566d9c495eaf0f68ca43","qingdao-unicom-1","77","257727","901028"
"ffc8a2b939168b3ec0f1684c3d6cc9cd","qingdao-unicom-1","77","257727","901028"
"696e16e689f84552df6952984b95f8ce","qingdao-unicom-1","77","257727","901212"
"cd4793451ed138d127c99017952b2a5c","qingdao-unicom-1","77","257727","901028"
"c03e3351e5223d784bb775f3aea106e1","qingdao-unicom-1","77","257727","901028"
"2569693b784eb93bbce3b2797449b74f","suzhou-telecom-2","77","257727","901028"
"730888f25f408e838243bbe733c88bb5","suzhou-telecom-2","77","257727","901028"
"8967d40238b4c072427d74902d37ce4b","suzhou-telecom-2","64","257727","901028"
"f5a484a0b0948e0fbc1a8ca8ff03bc05","suzhou-telecom-2","77","257727","901028"
"30116931b496f6343925bd13395e9b7a","suzhou-telecom-2","77","257727","901028"
"a022126920237c7b23b522f848e023ff","suzhou-telecom-2","77","257727","901028"
"f28ec3ee67e8cda8734cd10c4edd34f2","suzhou-telecom-2","77","257727","901028"
"83aead519cc80f6c5e2266f53c5e4343","suzhou-telecom-2","77","257727","901028"
"890778df93994d33a6ff98ccf5a15803","suzhou-telecom-2","77","257727","901028"
"c05dff228586b671425b1c1a4fe0f1b9","suzhou-telecom-2","64","257727","901028"
"ff08e1fb775e2327b51b88b1a46145c6","suzhou-telecom-3","64","257727","901028"
"d198894f4097a7056eed1546e4b68ff8","suzhou-telecom-3","64","257727","901212"
